SURVEY_ID,USER_ID,SURVEY_RESPONDED_DATE,RESPONSE1,RESPONSE2,RESPONSE3
survey_6,user_2898,8/31/21,"grab & go",Walmart,"i was able to buy everything on my list"
survey_6,user_2900,9/5/21,other,"Whole Foods","i was able to buy everything on my list"
survey_4,user_2908,8/21/21,stock-up,walmart,"i was able to buy everything on my list"
survey_3,user_2907,8/15/21,stock-up,kroger,"i found most of the items on my list"
survey_4,user_2944,8/21/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_7,user_2989,9/11/21,stock-up,"Sam's Club","i was able to buy everything on my list"
survey_5,user_3026,8/24/21,"fill in","sam's club","i was able to buy everything on my list"
survey_3,user_3059,8/9/21,"fill in",walmart,"i found most of the items on my list"
survey_9,user_3121,9/21/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_2,user_3202,8/3/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_2,user_3244,8/2/21,stock-up,target,"i was able to buy everything on my list"
survey_3,user_3292,8/9/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_7,user_2998,9/12/21,"grab & go",Costco,"i found most of the items on my list"
survey_4,user_3015,8/18/21,"fill in",costco,"i was able to buy everything on my list"
survey_8,user_3016,9/18/21,stock-up,walmart,"i found most of the items on my list"
survey_7,user_3119,9/10/21,"grab & go",Target,"i was able to buy everything on my list"
survey_7,user_3155,9/7/21,"grab & go",Walmart,"i was able to buy everything on my list"
survey_2,user_3183,8/4/21,"grab & go","whole foods","i was able to buy everything on my list"
survey_7,user_3226,9/9/21,"returns and services",Target,"i found most of the items on my list"
survey_6,user_3259,8/31/21,"fill in","Trader Joe's","i was able to buy everything on my list"
survey_5,user_3319,8/28/21,"grab & go",albertsons,"i was able to buy everything on my list"
survey_2,user_3322,8/3/21,"grab & go",target,"i was able to buy everything on my list"
survey_9,user_4338,9/25/21,"grab & go",walmart,"i was able to buy everything on my list"
survey_2,user_4377,8/7/21,"fill in",target,"i was able to buy everything on my list"
survey_4,user_4413,8/21/21,stock-up,"sam's club","i was able to buy everything on my list"
survey_3,user_4379,8/9/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_6,user_4415,9/2/21,stock-up,Albertsons,"i was able to buy everything on my list"
survey_8,user_4443,9/18/21,"grab & go",albertsons,"i was able to buy everything on my list"
survey_2,user_4539,8/2/21,"fill in",target,"i found most of the items on my list"
survey_8,user_4647,9/15/21,stock-up,costco,"i was able to buy everything on my list"
survey_7,user_4671,9/7/21,"fill in",Walmart,"i was able to buy everything on my list"
survey_2,user_4693,8/5/21,"grab & go",albertsons,"i was able to buy everything on my list"
survey_9,user_4771,9/22/21,"grab & go",kroger,"i was able to buy everything on my list"
survey_2,user_4814,8/3/21,"fill in",target,"i was able to buy everything on my list"
survey_2,user_4822,8/3/21,other,target,"i found most of the items on my list"
survey_2,user_4529,8/2/21,stock-up,"sam's club","i found most of the items on my list"
survey_7,user_4558,9/6/21,"fill in",Walmart,"i was able to buy everything on my list"
survey_7,user_4588,9/7/21,"fill in",Costco,"i was able to buy everything on my list"
survey_10,user_4676,9/28/21,stock-up,walmart,"i found only a few of the items on my list"
survey_4,user_4745,8/17/21,"fill in",walmart,"i was able to buy everything on my list"
survey_4,user_4766,8/21/21,stock-up,walmart,"i was able to buy everything on my list"
survey_5,user_712,8/29/21,"grab & go","trader joe's","i was able to buy everything on my list"
